Serial Feed Started
Time Setpoint Input Output
215 125.00 122.00 1115.53
216 130.00 122.25 2000.00
217 130.00 122.75 2000.00
218 130.00 123.25 2000.00
219 130.00 123.75 2000.00
220 130.00 124.25 1942.33
221 130.00 124.50 1792.62
222 130.00 125.00 1780.39
223 130.00 125.50 1568.14
224 130.00 126.00 1418.37
225 135.00 126.50 2000.00
226 135.00 127.00 2000.00
227 135.00 127.50 2000.00
228 135.00 128.00 2000.00
229 135.00 128.50 2000.00
230 135.00 129.25 2000.00
231 135.00 129.50 1733.48
232 135.00 130.00 1783.76
233 135.00 130.50 1571.51
234 140.00 131.25 2000.00
235 140.00 131.75 2000.00
236 140.00 132.25 2000.00
237 140.00 132.75 2000.00
238 140.00 133.25 2000.00
239 140.00 133.75 2000.00
240 140.00 134.25 1949.23
241 140.00 134.75 1799.52
242 140.00 135.25 1649.78
243 165.00 136.00 2000.00
244 165.00 136.50 2000.00
245 165.00 137.00 2000.00
246 165.00 137.50 2000.00
247 165.00 138.00 2000.00
248 165.00 138.75 2000.00
249 165.00 139.25 2000.00
250 165.00 139.75 2000.00
251 165.00 140.50 2000.00
252 165.00 141.00 2000.00
253 165.00 141.50 2000.00
254 165.00 142.00 2000.00
255 165.00 142.75 2000.00
256 165.00 143.25 2000.00
257 165.00 143.75 2000.00
258 165.00 144.50 2000.00
259 165.00 145.00 2000.00
260 165.00 145.50 2000.00
261 165.00 146.25 2000.00
262 165.00 146.75 2000.00
263 165.00 147.50 2000.00
264 165.00 148.00 2000.00
265 165.00 148.50 2000.00
266 165.00 149.25 2000.00
267 165.00 149.75 2000.00
268 165.00 150.50 2000.00
269 165.00 151.00 2000.00
270 165.00 151.50 2000.00
271 165.00 152.25 2000.00
272 165.00 152.75 2000.00
273 165.00 153.25 2000.00
274 165.00 154.00 2000.00
275 165.00 154.75 2000.00
276 165.00 155.25 2000.00
277 165.00 155.75 2000.00
278 165.00 156.25 2000.00
279 165.00 157.00 2000.00
280 165.00 157.50 2000.00
281 165.00 158.25 2000.00
282 165.00 158.75 1999.09
283 165.00 159.50 1936.91
284 165.00 160.00 1624.68
285 100.00 160.75 0.00
286 100.00 161.25 0.00
287 100.00 161.75 0.00
288 100.00 162.25 0.00
289 100.00 162.75 0.00
290 100.00 163.25 0.00
291 100.00 163.75 0.00
292 100.00 164.25 0.00
293 100.00 164.50 0.00
294 100.00 165.00 0.00
295 100.00 165.50 0.00
296 100.00 166.00 0.00
297 100.00 166.25 0.00
298 100.00 166.75 0.00
299 100.00 167.25 0.00
300 100.00 167.50 0.00
301 100.00 168.00 0.00
302 100.00 168.25 0.00
303 100.00 168.75 0.00
304 100.00 169.00 0.00
305 100.00 169.25 0.00
306 100.00 169.75 0.00
307 100.00 170.00 0.00
308 100.00 170.25 0.00
309 100.00 170.50 0.00
310 100.00 170.75 0.00
311 100.00 171.25 0.00
312 100.00 171.50 0.00
313 100.00 171.75 0.00
314 100.00 172.00 0.00
315 100.00 172.25 0.00
316 100.00 172.50 0.00
317 100.00 172.75 0.00
318 100.00 173.00 0.00
319 100.00 172.75 0.00
320 100.00 172.75 0.00
321 100.00 172.50 0.00
322 100.00 172.00 0.00
323 100.00 172.00 0.00
324 100.00 171.75 0.00
325 100.00 171.75 0.00
326 100.00 171.50 0.00
327 100.00 171.00 0.00
328 100.00 171.00 0.00
329 100.00 171.00 0.00
330 100.00 171.25 0.00
331 100.00 171.00 0.00
332 100.00 170.75 0.00
333 100.00 170.75 0.00
334 100.00 170.75 0.00
335 100.00 171.00 0.00
336 100.00 171.00 0.00
337 100.00 171.00 0.00
338 100.00 170.50 0.00
339 100.00 170.50 0.00
340 100.00 170.75 0.00
341 100.00 170.75 0.00
342 100.00 170.75 0.00
343 100.00 170.75 0.00
344 100.00 170.25 0.00
345 100.00 170.25 0.00
346 100.00 170.00 0.00
347 100.00 169.75 0.00
348 100.00 169.75 0.00
349 100.00 169.75 0.00
350 100.00 169.50 0.00
351 100.00 169.25 0.00
352 100.00 169.00 0.00
353 100.00 168.75 0.00
354 100.00 168.75 0.00
355 100.00 168.25 0.00
356 100.00 168.25 0.00
357 100.00 168.25 0.00
358 100.00 167.75 0.00
359 100.00 167.50 0.00
360 100.00 166.75 0.00
361 100.00 166.25 0.00
362 100.00 166.00 0.00
363 100.00 165.50 0.00
364 100.00 165.25 0.00
365 100.00 164.75 0.00
366 100.00 164.50 0.00
367 100.00 164.25 0.00
368 100.00 164.00 0.00
369 100.00 163.75 0.00
370 100.00 163.50 0.00
371 100.00 163.00 0.00
372 100.00 162.75 0.00
373 100.00 162.75 0.00
374 100.00 162.50 0.00
375 100.00 162.50 0.00
376 100.00 162.25 0.00
377 100.00 162.00 0.00
378 100.00 161.50 0.00
379 100.00 161.25 0.00
380 100.00 161.00 0.00
381 100.00 161.00 0.00
382 100.00 160.50 0.00
383 100.00 160.25 0.00
384 100.00 160.25 0.00
385 100.00 160.00 0.00
386 100.00 159.75 0.00
387 100.00 159.50 0.00
388 100.00 159.50 0.00
389 100.00 159.00 0.00
390 100.00 158.75 0.00
391 100.00 158.25 0.00
392 100.00 158.25 0.00
393 100.00 157.75 0.00
394 100.00 157.75 0.00
395 100.00 157.25 0.00
396 100.00 156.75 0.00
397 100.00 156.50 0.00
398 100.00 156.50 0.00
399 100.00 155.75 0.00
400 100.00 155.50 0.00
401 100.00 155.00 0.00
402 100.00 154.75 0.00
403 100.00 154.25 0.00
404 100.00 154.00 0.00
405 100.00 153.75 0.00
406 100.00 153.75 0.00
407 100.00 153.75 0.00
408 100.00 153.25 0.00
409 100.00 153.00 0.00
410 100.00 152.50 0.00
411 100.00 152.25 0.00
412 100.00 152.00 0.00
413 100.00 151.75 0.00
414 100.00 151.50 0.00
415 100.00 151.00 0.00
416 100.00 150.75 0.00
417 100.00 150.50 0.00
418 100.00 150.25 0.00
419 100.00 149.75 0.00
420 100.00 149.25 0.00
421 100.00 149.00 0.00
422 100.00 148.75 0.00
423 100.00 148.75 0.00
424 100.00 148.50 0.00
425 100.00 148.25 0.00
426 100.00 148.00 0.00
427 100.00 147.75 0.00
428 100.00 147.25 0.00
429 100.00 146.75 0.00
430 100.00 146.50 0.00
431 100.00 146.25 0.00
432 100.00 145.75 0.00
433 100.00 145.25 0.00
434 100.00 145.00 0.00
435 100.00 144.75 0.00
436 100.00 144.50 0.00
437 100.00 143.75 0.00
438 100.00 143.50 0.00
439 100.00 143.25 0.00
440 100.00 143.00 0.00
441 100.00 142.75 0.00
442 100.00 142.00 0.00
443 100.00 142.00 0.00
444 100.00 141.25 0.00
445 100.00 140.75 0.00
446 100.00 140.50 0.00
447 100.00 139.75 0.00
448 100.00 139.50 0.00
449 100.00 139.00 0.00
450 100.00 138.75 0.00
451 100.00 138.50 0.00
452 100.00 138.25 0.00
453 100.00 137.75 0.00
454 100.00 137.25 0.00
455 100.00 137.00 0.00
456 100.00 136.25 0.00
457 100.00 136.00 0.00
458 100.00 135.50 0.00
459 100.00 135.25 0.00
460 100.00 134.75 0.00
461 100.00 134.25 0.00
462 100.00 134.00 0.00
463 100.00 133.50 0.00
464 100.00 133.00 0.00
465 100.00 132.75 0.00
466 100.00 132.25 0.00
467 100.00 132.00 0.00
468 100.00 131.75 0.00
469 100.00 131.25 0.00
470 100.00 130.75 0.00
471 100.00 130.25 0.00
472 100.00 129.75 0.00
473 100.00 129.75 0.00
474 100.00 129.25 0.00
475 100.00 128.50 0.00
476 100.00 128.25 0.00
477 100.00 127.75 0.00
478 100.00 127.50 0.00
479 100.00 127.00 0.00
480 100.00 126.50 0.00
481 100.00 126.50 0.00
482 100.00 126.00 0.00
483 100.00 125.75 0.00
484 100.00 125.25 0.00
485 100.00 124.75 0.00
486 100.00 124.75 0.00
487 100.00 124.25 0.00
488 100.00 124.00 0.00
489 100.00 123.25 0.00
490 100.00 123.00 0.00
491 100.00 122.75 0.00
492 100.00 122.25 0.00
493 100.00 122.00 0.00
494 100.00 121.75 0.00
495 100.00 121.25 0.00
496 100.00 120.75 0.00
497 100.00 120.25 0.00
498 100.00 120.00 0.00
